Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
3276,4.0,0.5441,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",bisa jadi juga wak seperti vaksin influenza kan harus booster tiap tahun kita belum tahu juga iya ini vaksin covid jangka efektifitas nya bagaimana
3277,4.0,0.3478,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",dari dulu membicarakan ingin banyak iya ingin buat thread premarital checkup rangkaian vaksin premarital pengalaman vaksin covid sampai screening rutin mingguan perawatan gigi di rsgm ui nikah beda suku padahal belum nikah wkaka ujung ujungnya ngetwit receh saja
3278,10.0,0.8451,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",iya walopun aku vaksin sinovac dan ternyata lebih efektif astraze aku merasa boleh tidak si aku vaksin ulang ooo tidak boleh
3279,10.0,0.5219,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",dok kalau status autoimmunenya sudah remisi bolehkah dapat vaksin sinovac tanpa accord dokter karena di formulir screening pasti akan centang bagian riwayat autoimmune
3280,4.0,0.8183,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",min informasi tempat vaksin covid disalatiga dong
3281,9.0,0.8701,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",sudah vaksin sinovac boleh lagi tidak sih yang astrazeneca
3282,4.0,0.8864,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",hallo dan bapak apakah ada informasi vaksin covid apapun itu katanya sudah bisa buat umum terima kasih sebelumnya
3283,5.0,0.8485,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",aku seminggu masih demam habis vaksin astrazeneca
3284,9.0,0.5496,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",kalau sudah disuntik vaksin corona habis itu dapat bubur kacang ijo tidak sih
3285,4.0,0.7365,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",rebutan daftar vaksin covid gratis di komplek selagi gratis
3286,10.0,0.4955,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",halo kakak boleh tahu gaa kemarin vaksin sinovac dimana
3287,9.0,0.6229,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",buat tahu informasi vaksin sinovac bagaimana iya kaa
3288,10.0,0.648,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",saya sudah vaksin tapi vaksin sinovac nder kbrny after efek vaksin astrazeneca lebih keras daripada sinovac kalau sinovac after effectny tergntung kekebalan tubuh msg sebelum vaksin ada pemeriksaan kesehatan seperti di tensi dl terus nanti ditnya sm petugas vaksinator ada gejala sakit apa slm mnggu sblmny
3289,10.0,0.5966,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",dok merk vaksin covid yang tidak mrna apa saja iya dok
3290,10.0,0.828,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",nah kemarin tuh katanya vaksin sinovac kan berhenti dibulan mei dan mulai tanggal mei vaksin aztra itu mulai diedarkan dan vaksin sinovac tetap ada tapi buat yang sudah vaksin pertama pakai vaksin sinovac saja huhuhuuu aku bingung mas ell
3291,5.0,0.8656,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",aku kemarin juga habis vaksin astrazeneca jam setelah vaksin langsung ngantuk parah kepala berat mual mual daannn sangat ngerasa kehausan banget ngilu ditangan sih smpe sekarang yha moga saja malam ini badan nga panas
3292,4.0,0.5498,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",sentra vaksinasi bersama eldorado bandung kakak dulu saya divaksin pertama disitu dan kedua di prpp semarang vaksin sinovac
3293,10.0,0.6203,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",buat yang belum vaksin please beranikan diri untuk vaksin vaksin covid ngebantu sekali untuk melindungi kalian dari situasi genting seperti sekarang ini bisa mengurangi gejala bahkan mengurangi resiko terpapar ayo dan keluarga kalian dirumah
3294,9.0,0.7665,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",ada iya orang vaksin influenza takut sampai gakmau tapi vaksin covid tidak takut terlawaaaaak iya allah
3295,10.0,0.9091,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",pak dr terawan mohon informasinya jika sudah di vaksin sinovac the ke apakah bisa di vaksin lagi dengan vaksin nusantara
3296,5.0,0.669,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",saya dan pandita ratu kan sama sama dapat jatah vaksin astrazeneca pas dia divaksin bulan mei beberapa jam kemudian dia demam dan harus bed rest sampai hari hari ini giliran saya yang divaksin pas sudah selesai disuntik pandita ratu bertanya kamu tidak ngerasa pegal di tanga
3297,1.0,0.503,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",di depok bukanya kepolisian nawarin vaksin sinovac
3298,9.0,0.4184,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",bos aku saranin cari yang vaksin sinovac soalny efek tidak terlalu seperti astrazeneca yha masa iya aku nungguin sinovac
3299,4.0,0.9339,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",maumu pakai apa pajak kamu nyinyir utang kamu nyinyir kamu pikir vaksin covid untuk rakyat dana desa bantuan umkm bansos keperluan urus negara dan rakyat mesti pakai apa dalam ilmu ekonomi universal pajak itu instrumen utama negara utang sebagai pelengkap
3300,10.0,0.5095,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",semua itu pilihan sih tapi bagiku aku bersyukur banget ketika orang lain harus nunggu giliran dan antri saya hanya menunggu panggilan datang dan senang alhamdulillah papa mama dan adikku sudah lulus vaksin covid kali
3301,10.0,0.7121,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",sudah mas aku vaksin dari bumn itu loh di istora aku itu ingetnya vaksin sinovac tanggal tapi aku tidak dapat sms jadwal vaksin lagi kan nah aku telfon ke kan katanya terdaftarnya aztra tapi teman aku yang bareng katanya sinovac jadi bingung aku
3302,10.0,0.419,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",prof saya penyintas sudah vaksin sinovac apakah berguna terhadap varian delta terima kasih
3303,9.0,0.5243,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",aku sudah vaksin sinovac bisa vaksin lagi tidak aku takut badan aku meledak soalnya vaksinnya berantem di dalam tubuh ini bukan devil fruit kalau bisa dua aku jadi blackbeard obrolan random sore ini
3304,10.0,0.8486,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",kayaknya vaksin covid pengaruh ke hormon dehh
3305,9.0,0.4424,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",doc boleh explain tidak tentang vaksin astrazeneca tu abang saya anti vaksin dia suka takutkan ibu saya yang bekerja sbg frontliner
3306,9.0,0.4742,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",hari ini saya vaksin covid dan sekarang kedinginan kelean semua harus tahu biar bisa pesenin saya bubur
3307,4.0,0.5639,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",biasanya sekarang lagi trend di vaksin covid hanya saya yang ke rs di vaksin tetanus kayaknya mana pakai di infus lagi
3308,5.0,0.7822,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",jam habis vaksin covid astrazeneca efek samping yang saya rasakan cuma ngantuk saja ges pegal tidak demam mual pusing juga tidak besok tidak pantau lagi sempat kerasa hangat badan tidak hajar pecel ayam seger lagi
3309,4.0,0.3552,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin covid ini cepat orang research keberkesanan diragui disebabkan masa yang amat singkat untuk kajian maybe that s is the reason for that
3310,4.0,0.3525,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",halo teman teman twitterku area cimahi adakah yang belum di vaksin covid dan mau di vaksin besok kamis juni boleh dm yaa terima kasih
3311,4.0,0.8485,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",setelah searching aku pribadi lebih memilih vaksin sinovac
3312,10.0,0.7579,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",nah di tanggal kemarin ada vaksin gratis di manado pakai vaksin astrazenevac di tondano pakai vaksin sinovac
3313,9.0,0.458,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",aku vaksin sinovac kakak vaksin pertama aduh pegal sekali area suntik terus bawaannya ngantuk terus gatau efek vaksin apa karena emang habis dines malam vaksin kedua tidak ada keluhan apa sih cuma ngantuk saja sisanya aman kakak
3314,4.0,0.8486,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",cara mendapatkan vaksin covid selain untuk lanjut usia bagaimana iya di kabupaten kendal
3315,4.0,0.4257,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",dengan target ini memastikan bahwa jumlah vaksin covid yang tersedia saat ini cukup proses distribusi juga dipastikan berjalan dengan baik sehingga tidak ada kekosongan vaksin di daerah
3316,4.0,0.4842,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",aku tidak butuh vaksin covid sng tk butuh ini vaksin insecure
3317,9.0,0.3865,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",kalau masalah efek samping itu mungkin tergantung badan si orangnya kalau sistem imun nya tidak bagus efek jadi aneh tapi juga ada yang bilang kalau jenis vaksin covid nya juga berpengaruh karena ada kalau tidak salah ada jenis vaksin covid
3318,9.0,0.868,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",aku belum pernah vaksin meningitis pira hwhwh jadi tidak ngerasain tapi vaksin meningitis tuh setauku cara suntiknya sama dengan vaksin covid iya sama intramuskular jadi kurang lebih efek akan sama sih sptnya
3319,7.0,0.4646,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",dok kalau vaksin sinovac berapa bisa menghalau varian baru tersebut
3320,9.0,0.8484,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",amiin kamu kayaknya dapat vaksin astrazeneca iya
3321,9.0,0.4515,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",informasi vaksin astrazeneca donk min yang bisa untuk besok sabtu
3322,9.0,0.512,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",habis di vaksin astrazeneca dann yaampun ngantuk sekali ini agak panas juga semoga tidak demam kaya orang deh
3323,10.0,0.4704,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",vaksin covid sakit bagaimana masih dihari sama atau brbrp hari after efek dr vaksinnya beda dr tiap orang
3324,10.0,0.5328,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",ade aje sudah rang orang pada gamau vaksin lah ini teman nya teman aku bahkan ngide mau vaksin kali dia sudah vaksin sinovac kelar terus ingin coba vaksin astrazeneca kenpa rajin banget si iya allah wkwkwk
3325,10.0,0.688,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",aku ada dm tipe dan beberapa hari lalu vaksin astrazeneca selama dokter yang biasa nanganin kamu kasih izin harusnya si tidak apa-apa harus punya surat rujukan dari dokter kalau punya penyakit bawaan baru bisa vaksin
3326,4.0,0.6005,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",pircimi siji diviksin kili titip kitilirin jigi sungguh benar baca komenan di thread tentang vaksin covid serasa kuliah kesabaran dalam bermedia sosial wkwkwkwk sangar emang rangorang ini
3327,9.0,0.5119,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",bukan anti vaksin atau apa iya tapi saya kok takut sekali sama vaksin astrazeneca kalau pfizer sudah yakin bagus banyak teman sama saudara yang mengambil astrazeneca kemarenan dan sekarang lagi pada meriang teman di amrik yang dapat pfizer kayaknya tidak sampai begini efek sampingnya
3328,4.0,0.691,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",kapan ini vaksin covid di ada kan tanpa batasan usia seperti di kecamatan sebelah
3329,10.0,0.7441,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",kenapa tidak pakai sinovac saja pak astrazeneca kan pernah kejadian habis vaksin astrazeneca meninggak
3330,4.0,0.4781,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",dari ig story ktp depok bisa ke rs puri cinere vaksin sinovac
3331,5.0,0.7139,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",habis vaksin astrazeneca yang kedua was was meriang lagi alhamdulillah cuma tangan pegal saja sakit benar tapi
3332,10.0,0.7212,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",saya ingin vaksin astrazeneca tapi takut sekali kemarin abang sama teman saya habis vaksin itu mukanya bengkak
3333,5.0,0.628,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",first time vaksin astrazeneca badan berasa letoy begini
3334,5.0,0.4113,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",hari bang tapi kalau sakit pda bagian yang disuntiknya sampek kmrin pun juga masih terasa dan ketambahan lagi kmrin disuntik lagi vaksin astrazeneca bang
3335,9.0,0.4534,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",kok kalian yang di habis vaksin covid dapat sertipikat sik kok aku di tidak tidak adil
3336,10.0,0.6063,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",benar banget teman bapaku juga iya di vaksin covid tidak mau eh ternyata kemarin dia positif kena sedih banget si di sekitar rumahku masih banyak yang abai protokol kesehatan juga makanya sekarang aku juga malas sekali keluar rumah
3337,9.0,0.4097,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",tertawa ada orang yang bilang kalau habis vaksin covid bisa jadi lumpuh pas dijelasin yang benar bahkan ngeyel tertawa
3338,6.0,0.5749,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",sedikitnya ribu orang dari sektor perbankan pasar modal dan industri mendapatkan suntikan vaksin astrazeneca pada kesempatan tersebut
3339,6.0,0.5417,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",perasaan banyak sekali seliweran butuh donor darah o sekitaraan malang sayang sekali tidak bisa donor karena habis vaksin covid padahal sudah lama tidak donor
3340,1.0,0.2975,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",telattt ini syopi email vaksin astrazeneca jumat tapi untung sih tadi pagi dapat vaksin sinovac
3341,4.0,0.6972,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin covid waaaawwww
3342,9.0,0.6092,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",apa iya efek vaksin astrazeneca bisa buat kita jadi karyawan astrazeneca
3343,10.0,0.697,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",bagaimana dengan vaksin sinovac
3344,3.0,0.3745,"emg, alam, cek, normal, telah, tensi, booster, kmren, us, iyaa",mbak bantu memberikan informasi di rscm vaksin sinovac daftarnya lewat web buat informasi lebihnya bisa cek ig rscm official
3345,4.0,0.3012,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",mnrtku iklan layanan masyarakat soal vaksin covid tuh hrsnya diadakan rutin di tv dulu pas jaman soeharto slalu ada iklan untuk vaksin sosiasliasi penyakit apapun deh yang buat masyarakat jadi aware amp ikut program pencegahannya dan mesti di tv sih biar jangkauannya lebih luas
3346,4.0,0.5214,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",drg moco piagam e model apa tapi arek kantor podo guyon piagam vaksin covid iso dilampirno apa tidak
3347,4.0,0.4332,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",giliran di indramayu besok ada vaksin covid umur tahun ke atas dipuskesmas eh tetangga kita emak saya pada tidak mau pada takut ktnya ada juga yang tidak di bolehin sama cucunya padahal apa sih yang ditakutin ini sosialisasi yang kurang atau emang harus di samperin satu biar pada mau
3348,5.0,0.4713,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",habis vaksin astrazeneca kedua puyeng sekali mana ngantuk terus lapar muluuuk
3349,4.0,0.5165,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",gausah sok sokan ingin indonesia kaya match semalem deh kalau kamu saja masih percaya di dalam vaksin covid ada microchipnya
3350,1.0,0.4718,"vaksin, sinovac, who, juni, guna, sinopharm, saudi, indonesia, tanggal, arab",ada yamg sudah pernah mgerasain di vaksin covid aduh besok vaksin deg degan sekali
3351,4.0,0.5659,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",nice mas ternyata banyak yang terpikirkan kalau vaksin covid itu bayar iya
3352,9.0,0.4547,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",sama seperti vaksin vaksin lain mungkin kamu juga akan mengalami beberapa efek samping pasca menerima vaksin covid termasuk vaksin yang sedang diberikan saat ini astrazeneca
3353,4.0,0.6441,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",jika teman teman di jakarta dan sekitarnya ada yang mau vaksin covid please drop me a message kami bantu arahkan vaksin di pelabuhan tanjung priok no term and condition ktp mana saja diterima jenis vaksin astrazeneca zenecca
3354,5.0,0.6494,"vaksin, demam, tidak, pegal, habis, efek, astrazeneca, sinovac, jam, ngantuk",so far informasi yang aku dapat dari penerima vaksin sinovac pada biasa saja tidak ada efek samping apa sementara rata penerima vaksin astrazeneca semuanya ngalamin menggigil meriang demam sakit kepala dan lemas
3355,4.0,0.5266,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",ternyata masih ada iya yang belum tahu kalau vaksin covid itu gratis tis ini tuh karena kurang sosialisasi tentang vaksinasi atau orang orangnya saja yang tidak pernah cari tahu sama sekali
3356,4.0,0.6354,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",dua kali ikut vaksin covid dimintai uang administrasi rb
3357,9.0,0.5827,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",mulai kerasa efek samping vaksin astrazeneca
3358,8.0,0.7727,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",soal isi vaksin covid
3359,8.0,0.3263,"vaksin, covid, mati, aman, astrazeneca, hasil, virus, sebab, tidak, batch",bahaya banget emg isu bohong vaksin covid ini
3360,4.0,0.8182,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",entah kenapa coba tanya dan kenapa belum ada vaksin covid untuk sementara jakarta sudah
3361,9.0,0.6232,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",vaksin sinovac sudah habis iya di jakarta
3362,10.0,0.4758,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",ssiapp bang saya sudah lapar euy abjs vaksin covid pertama
3363,9.0,0.4252,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",selamat mbak cepat sekali iya proses vaksinnya di jakarta dapat vaksin astrazeneca iya pengalaman dari aku dan keluarga siapin paracetamol kami semua baru ngerasain efek itu setelah malam
3364,9.0,0.4777,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",vaksin covid sayang sudah dari maret aku vaksinnya
3365,4.0,0.8486,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",kalau ada vaksin covid buat anak iya langsung cuss berangkat
3366,9.0,0.3222,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",ada yang sudah vaksin sinopharm saya parno deh
3367,9.0,0.8485,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",halo kakak untuk vaksin yang digunakan vaksin astrazeneca iya
3368,9.0,0.8181,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",yang pada vaksin sinovac ada efek apose ini
3369,7.0,0.4715,"vaksin, sinovac, pfizer, varian, covid, efektif, tahap, uji, cegah, corona",ingin vaksin sinovac di sby sda dmana iya
3370,2.0,0.7781,"temu, bayi, kontra, vaksin, desa, covid, halal, cacar, beli, adil",sebaran hoaks seputar vaksin covid paling banyak beredar di facebook tercatat ada sebaran hoaks di platform besutan mark zuckerberg kedua adalah twitter
3371,4.0,0.395,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",bertanya dong vaksin covid yang cocok buat ibu menyusui apa iya saya belum tahu kapan divaksin karena belum dapat informasi giliran buat busui saking banyak jenis vaksin dan efek sampingnya saya tidak mau terjadi apa apa dengan diri sendiri terutama asi buat si bayi terima kasih
3372,4.0,0.3418,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",coba googling dulu tujuan utama vaksin covid iya mencegah covid bergejala dan menjurus berbahaya jadi yang di harapkan jika semua sudah vaksin covid ini seperti flu biasa saja tanpa harus masuk rumah sakit sampai menuhin icu
3373,2.0,0.4937,"temu, bayi, kontra, vaksin, desa, covid, halal, cacar, beli, adil",luar biasa hoaks seputar vaksin covid
3374,10.0,0.7727,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",ngomong-ngomong aku dapat vaksin astrazeneca
3375,9.0,0.5555,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",saya mimpi ikut vaksin covid tapi suntiknya di paha
3376,9.0,0.737,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",siapa saja informasi dong emang kalau setelah di vaksin sinovac bawaannya ngantuk sama lapar yaa
3377,10.0,0.551,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",masih tidak mengerti sudah fungsi vaksin covid apa ini temenku saja yang sudah vaksin bisa kena juga entah
3378,4.0,0.4859,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",bagaimana dengan vaksin sinopharm apakah vaksin tersebut dapat memberikan perlindungan
3379,4.0,0.7727,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin corona maksudnya
3380,10.0,0.5505,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",teman seperbis bosan eug sudah pakai dia vaksin tertawa vaksin sinovac sama astrazeneca
3381,9.0,0.3445,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",baru kemarin ngoceh masalah vaksin covid tidak semua karyawan dapat cuma atasan gtu weh besok nya yang habis vaksin banyak yang positif covid
3382,10.0,0.4246,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",iyal sudah vaksin sinovac aku sudah vaksin astrazeneca kita berdua kena covid juga kok sudah vaksin bisa kena covid iya kamu kata vaksin bisa jadi tekbal begitu apa sama penyakitnya iya tidak tapi seenggak cuma buat kaya mau kena flu biasa saja
3383,4.0,0.4928,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",gagal vaksin astrazeneca gegara kurang bobo dan masih berjuang cari informasi vaksin sinovac di jakarta biar dapat interval cepat
3384,10.0,0.8485,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",untuk vaksin sinovac bagaimana prof kebetulan vaksin dapat yang sinovac
3385,10.0,0.6482,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",kalian sudah pada vaksin astrazeneca belum sedih takut sekali yaallah
3386,4.0,0.6395,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",vaksin bukan obat apalagi jadi kebal simpelnya dia membantu tubuh kita ngelawan virus kalau sampai kena jadi kalau sampai kena pun meminimalisir gejala yang timbul jadi kalau dipikir habis vaksin corona bubar tidak begitu yaaak
3387,9.0,0.8186,"vaksin, tidak, sinovac, efek, iya, covid, astrazeneca, sih, samping, suntik",aku dibolehinnya vaksin sinovac lagi sama keluarga tertawa
3388,10.0,0.7727,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",bagaimana dg vaksin sinovac
3389,10.0,0.6017,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",selamat siang dok untuk yang sudah vaksin sinovac apa boleh vaksin astrazeneca lagi
3390,4.0,0.5948,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",lantaran itu pada januari kkm mengeluarkan semula kenyataan berkaitan majlis khas jawatankuasa muzakarah majlis kebangsaan bagi hal ehwal ugama islam pada disember yang telah menetapkan ketetapan bahawa hukum penggunaan vaksin covid
3391,4.0,0.5658,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",wag keluarga jangan vaksin karena ada mikrochip di dalem vaksin vaksinnya dari cina vaksin haram tidak divaksin juga tidak bakal kenapa tidak perlu vaksin covid tidak ada vaksin buat di tubuh ada aliran magnet tapi giliran kalau tidak vaksin tidak dapat blt auto ramai
3392,4.0,0.7727,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",di daerah saya semuanya vaksin sinovac
3393,6.0,0.3244,"vaksin, dosis, vaksinasi, covid, sinopharm, juta, indonesia, program, terima, gotong",aku juga baru dua jam lalu dapat vaksin astrazeneca dosis pertama semangat menyambut hidup lebih sehat usaha harus maksimal yekaaan
3394,4.0,0.8533,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",cina sudah berhasil mengelabui dunia melalui senjata biologisnya untuk meraup keuntungan se banyaknya melalui teror covid yang disebarnya dan penjualan vaksin sinovac yang laris terutama di negara yang dipimpin oleh presiden yang punya kemampuan dibawah rata
3395,10.0,0.5619,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",hari ini bapak vaksin covid dosis pertama kebetulan ada vaksin gratis dari puskesmas ponggok di balai desa jatilengger selagi deket sekalian vaksin saja
3396,10.0,0.5109,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",sudah ada yang jelasin belum vaksin covid itu bertahan berapa lama seumur hidup atau cuma setahun sekali macam vaksin flu biasa
3397,10.0,0.4805,"vaksin, sinovac, astrazeneca, tidak, covid, iya, pakai, teman, dok, kemarin",buat yang kemarin dapat vaksin sinovac terus baca artikel pfizer dan astrazeneca terbukti ampuh melawan varian delta covid jangan sedih kecewa iya yang penting sekarang tetap pakai masker cuci tangan jangan berkerumun kalau kamu dapat kesempatannya sinovac tetap ambil
3398,4.0,0.3657,"vaksin, covid, tidak, informasi, sinovac, iya, terima, usia, tahun, anak",jepang menetapkan mereka telah memiliki pasokan vaksin yang cukup untuk semua orang jepang dari pfizer dan moderna oleh karena itu vaksin astrazeneca yang diproduksi di dalam negeri sementara waktu tidak digunakan pm yoshihide suga memiliki kebijakan untuk memasok juta dosis ke luar negeri
